Area,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,N_kg/ha,pesticide_load,continent
Canada,2013,95878,537.0,81659.8,10.11,58.35,high,America
Canada,2013,95878,537.0,81659.8,7.86,58.35,high,America
Canada,2013,95878,537.0,81659.8,7.08,58.35,high,America
Canada,2013,95878,537.0,81659.8,8.46,58.35,high,America
Canada,2013,95878,537.0,81659.8,9.85,58.35,high,America
Central African Republic,1990,7324,1342.0,0.04,25.42,0.41,low,Africa
Central African Republic,1991,8149,1342.0,0.04,25.45,0.4,low,Africa
Central African Republic,1992,9038,1342.0,0.04,24.81,0.45,low,Africa
Central African Republic,1993,9038,1342.0,0.25,25.14,0.5,low,Africa
Central African Republic,1994,8500,1342.0,2.16,25.39,0.05,low,Africa
Central African Republic,1995,8500,1342.0,22.87,25.5,0.05,low,Africa
Central African Republic,1996,8500,1342.0,22.87,25.32,0.05,low,Africa
Central African Republic,1997,9178,1342.0,22.87,25.69,0.05,low,Africa
Central African Republic,1998,9799,1342.0,22.87,25.96,0.1,low,Africa
Central African Republic,1999,10556,1342.0,22.87,25.05,0.1,low,Africa
Central African Republic,2000,10600,1342.0,22.87,25.4,0.1,low,Africa
Central African Republic,2001,10700,1342.0,22.87,25.28,0.1,low,Africa
Central African Republic,2002,9826,1342.0,22.87,25.44,0.0,low,Africa
Central African Republic,2004,9615,1342.0,22.87,25.67,0.01,low,Africa
Central African Republic,2005,9034,1342.0,22.87,25.92,0.12,low,Africa
Central African Republic,2006,9010,1342.0,22.87,25.85,0.15,low,Africa
Central African Republic,2007,8500,1342.0,22.87,25.88,0.18,low,Africa
Central African Republic,2008,8500,1342.0,22.87,25.76,0.09,low,Africa
Central African Republic,2009,8500,1342.0,22.87,26.17,0.1,low,Africa
Central African Republic,2010,16148,1342.0,22.87,26.06,0.11,low,Africa
Central African Republic,2011,16804,1342.0,22.87,25.23,0.21,low,Africa
Central African Republic,2012,17505,1342.0,22.87,25.28,0.12,low,Africa
Central African Republic,2013,12446,1342.0,22.87,25.69,0.06,low,Africa
Chile,1990,81395,1522.0,15373.0,12.88,43.06,medium,America
Chile,1990,81395,1522.0,15373.0,6.11,43.06,medium,America
Chile,1991,83916,1522.0,15373.0,13.0,42.84,medium,America
Chile,1991,83916,1522.0,15373.0,6.37,42.84,medium,America
Chile,1992,84884,1522.0,15373.0,12.93,51.44,medium,America
Chile,1992,84884,1522.0,15373.0,5.97,51.44,medium,America
Chile,1993,84890,1522.0,15373.0,13.26,60.54,medium,America
Chile,1993,84890,1522.0,15373.0,6.16,60.54,medium,America
Chile,1994,89381,1522.0,15373.0,13.42,61.18,medium,America
Chile,1994,89381,1522.0,15373.0,6.7,61.18,medium,America
Chile,1995,91000,1522.0,15373.0,13.02,71.67,medium,America
Chile,1995,91000,1522.0,15373.0,6.4,71.67,medium,America
Chile,1996,94453,1522.0,15373.0,13.16,78.26,medium,America
Chile,1996,94453,1522.0,15373.0,6.26,78.26,medium,America
Chile,1997,82417,1522.0,15373.0,13.66,76.62,medium,America
Chile,1997,82417,1522.0,15373.0,6.8,76.62,medium,America
Chile,1998,94006,1522.0,15373.0,13.19,74.98,medium,America
Chile,1998,94006,1522.0,15373.0,6.28,74.98,medium,America
Chile,1999,85153,1522.0,15373.0,13.24,88.64,medium,America
Chile,1999,85153,1522.0,15373.0,5.93,88.64,medium,America
Chile,2000,94120,1522.0,14264.54,12.99,89.1,medium,America
Chile,2000,94120,1522.0,14264.54,5.95,89.1,medium,America
Chile,2001,94306,1522.0,13156.09,13.16,84.09,medium,America
Chile,2001,94306,1522.0,13156.09,6.41,84.09,medium,America
Chile,2002,105902,1522.0,12047.63,12.95,75.36,medium,America
Chile,2002,105902,1522.0,12047.63,6.25,75.36,medium,America
Chile,2004,110678,1522.0,9830.72,13.44,104.69,medium,America
Chile,2004,110678,1522.0,9830.72,6.32,104.69,medium,America
Chile,2005,112285,1522.0,9830.72,13.06,91.06,medium,America
Chile,2005,112285,1522.0,9830.72,6.22,91.06,medium,America
Chile,2006,111840,1522.0,9830.72,13.19,99.04,medium,America
Chile,2006,111840,1522.0,9830.72,6.84,99.04,medium,America
Chile,2007,89302,1522.0,9830.72,12.31,106.49,medium,America
Chile,2007,89302,1522.0,9830.72,5.51,106.49,medium,America
Chile,2008,101411,1522.0,9830.72,13.69,112.81,medium,America
Chile,2008,101411,1522.0,9830.72,6.57,112.81,medium,America
Chile,2009,104956,1522.0,9830.72,13.04,88.98,medium,America
Chile,2009,104956,1522.0,9830.72,6.7,88.98,medium,America
Chile,2010,110808,1522.0,9830.72,12.69,113.28,medium,America
Chile,2010,110808,1522.0,9830.72,6.13,113.28,medium,America
Chile,2011,119978,1522.0,9830.72,13.25,107.45,medium,America
Chile,2011,119978,1522.0,9830.72,6.27,107.45,medium,America
Chile,2012,107224,1522.0,9830.72,13.48,106.97,medium,America
Chile,2012,107224,1522.0,9830.72,6.82,106.97,medium,America
Chile,2013,106321,1522.0,9830.72,13.07,112.75,medium,America
Chile,2013,106321,1522.0,9830.72,5.94,112.75,medium,America
Colombia,1990,14498,3240.0,18058.29,27.22,62.36,medium,America
Colombia,1990,14498,3240.0,18058.29,22.4,62.36,medium,America
Colombia,1991,15498,3240.0,16817.0,27.3,62.26,medium,America
Colombia,1991,15498,3240.0,16817.0,22.53,62.26,medium,America
Colombia,1992,15175,3240.0,15305.94,27.38,52.12,medium,America
Colombia,1992,15175,3240.0,15305.94,22.67,52.12,medium,America
Colombia,1993,15465,3240.0,14961.81,27.42,52.26,medium,America
Colombia,1993,15465,3240.0,14961.81,22.29,52.26,medium,America
Colombia,1994,15671,3240.0,17051.34,27.17,52.86,medium,America
Colombia,1994,15671,3240.0,17051.34,22.33,52.86,medium,America
Colombia,1995,15537,3240.0,20156.23,27.3,54.49,medium,America
Colombia,1995,15537,3240.0,20156.23,22.27,54.49,medium,America
Colombia,1996,16293,3240.0,18131.0,27.12,57.62,medium,America
Colombia,1996,16293,3240.0,18131.0,22.07,57.62,medium,America
Colombia,1997,17054,3240.0,16005.0,27.54,62.3,medium,America
Colombia,1997,17054,3240.0,16005.0,22.9,62.3,medium,America
Colombia,1998,16598,3240.0,60687.0,27.67,67.81,high,America
Colombia,1998,16598,3240.0,60687.0,23.07,67.81,high,America
Colombia,1999,17961,3240.0,66088.0,26.77,68.7,high,America
Colombia,1999,17961,3240.0,66088.0,21.83,68.7,high,America
Colombia,2000,21064,3240.0,75843.0,26.98,73.55,high,America
Colombia,2000,21064,3240.0,75843.0,22.01,73.55,high,America
Colombia,2001,20755,3240.0,85515.3,27.28,72.89,high,America
Colombia,2001,20755,3240.0,85515.3,22.5,72.89,high,America
Colombia,2002,22773,3240.0,84023.26,27.77,96.01,high,America
Colombia,2002,22773,3240.0,84023.26,22.73,96.01,high,America
Colombia,2004,26357,3240.0,105514.19,27.3,102.02,high,America
Colombia,2004,26357,3240.0,105514.19,22.63,102.02,high,America
Colombia,2005,27537,3240.0,117881.45,27.56,95.6,high,America
Colombia,2005,27537,3240.0,117881.45,22.69,95.6,high,America
Colombia,2006,25368,3240.0,98328.63,27.51,102.42,high,America
Colombia,2006,25368,3240.0,98328.63,22.6,102.42,high,America
Colombia,2007,27661,3240.0,82439.06,27.45,99.58,high,America
Colombia,2007,27661,3240.0,82439.06,22.48,99.58,high,America
Colombia,2008,27712,3240.0,48538.97,27.16,97.92,high,America
Colombia,2008,27712,3240.0,48538.97,22.07,97.92,high,America
Colombia,2009,26845,3240.0,51435.13,27.68,109.59,high,America
Colombia,2009,26845,3240.0,51435.13,22.87,109.59,high,America
Colombia,2010,27227,3240.0,48618.46,27.54,120.62,high,America
Colombia,2010,27227,3240.0,48618.46,22.68,120.62,high,America
Colombia,2011,28591,3240.0,53797.0,27.18,129.85,high,America
Colombia,2011,28591,3240.0,53797.0,22.33,129.85,high,America
Colombia,2012,29052,3240.0,48727.73,27.56,122.21,high,America
Colombia,2012,29052,3240.0,48727.73,22.58,122.21,high,America
Colombia,2013,28246,3240.0,54563.38,27.6,112.48,high,America
Colombia,2013,28246,3240.0,54563.38,22.85,112.48,high,America
Croatia,1992,41535,1113.0,2304.0,10.78,100.77,low,Europe
Croatia,1993,44822,1113.0,2675.33,10.19,77.18,low,Europe
Croatia,1994,45529,1113.0,3046.67,11.33,77.81,low,Europe
Croatia,1995,49027,1113.0,3418.0,10.14,75.43,low,Europe
Croatia,1996,52192,1113.0,3148.0,9.24,91.45,low,Europe
Croatia,1997,58802,1113.0,3026.25,10.18,137.18,low,Europe
Croatia,1998,52474,1113.0,2904.5,10.42,77.99,low,Europe
Croatia,1999,55584,1113.0,2782.75,10.51,83.04,low,Europe
Croatia,2000,40701,1113.0,2661.0,11.45,127.33,low,Europe
Croatia,2001,56659,1113.0,2539.25,10.74,107.26,low,Europe
Croatia,2002,63767,1113.0,2417.5,11.18,139.89,low,Europe
Croatia,2004,63054,1113.0,2174.0,10.06,158.67,low,Europe
Croatia,2005,69182,1113.0,2053.0,9.62,131.99,low,Europe
Croatia,2006,65312,1113.0,2150.0,10.56,199.75,low,Europe
Croatia,2007,49371,1113.0,2015.0,11.31,227.87,low,Europe
Croatia,2008,79759,1113.0,2388.0,11.09,278.26,low,Europe
Croatia,2009,73508,1113.0,2070.0,11.06,97.48,low,Europe
Croatia,2010,69678,1113.0,1540.0,10.0,118.78,low,Europe
Croatia,2011,56817,1113.0,1638.74,11.02,142.75,low,Europe
Croatia,2012,43374,1113.0,1737.47,11.12,108.47,low,Europe
Croatia,2013,65000,1113.0,1836.21,11.58,82.08,low,Europe
Denmark,2010,48105,703.0,3894.0,7.54,74.24,low,Europe
Denmark,2011,52170,703.0,4249.48,9.31,73.17,low,Europe
Denmark,2012,58217,703.0,5716.0,8.7,77.97,medium,Europe
Denmark,2013,59141,703.0,4118.0,8.81,73.39,low,Europe
Dominican Republic,1990,16479,1410.0,4971.0,26.67,33.17,low,America
Dominican Republic,1990,16479,1410.0,4971.0,26.61,33.17,low,America
Dominican Republic,1991,16223,1410.0,4971.0,26.57,36.24,low,America
Dominican Republic,1991,16223,1410.0,4971.0,26.43,36.24,low,America
Dominican Republic,1992,13760,1410.0,4971.0,26.45,30.56,low,America
Dominican Republic,1992,13760,1410.0,4971.0,26.4,30.56,low,America
Dominican Republic,1993,14105,1410.0,4971.0,26.41,28.76,low,America
Dominican Republic,1993,14105,1410.0,4971.0,26.38,28.76,low,America
Dominican Republic,1994,10268,1410.0,4971.0,26.78,33.18,low,America
Dominican Republic,1994,10268,1410.0,4971.0,26.64,33.18,low,America
Dominican Republic,1995,14034,1410.0,3449.0,26.82,36.56,low,America
Dominican Republic,1995,14034,1410.0,3449.0,26.78,36.56,low,America
Dominican Republic,1996,13584,1410.0,3493.0,26.29,36.83,low,America
Dominican Republic,1996,13584,1410.0,3493.0,26.31,36.83,low,America
Dominican Republic,1997,11770,1410.0,3846.0,27.18,41.11,low,America
Dominican Republic,1997,11770,1410.0,3846.0,27.01,41.11,low,America
Dominican Republic,1998,13001,1410.0,4375.0,27.16,38.35,low,America
Dominican Republic,1998,13001,1410.0,4375.0,27.14,38.35,low,America
Dominican Republic,1999,12633,1410.0,5398.0,26.66,39.84,medium,America
Dominican Republic,1999,12633,1410.0,5398.0,26.62,39.84,medium,America
Dominican Republic,2000,12343,1410.0,5082.0,26.37,36.8,medium,America
Dominican Republic,2000,12343,1410.0,5082.0,26.35,36.8,medium,America
Dominican Republic,2001,13390,1410.0,7182.0,26.78,45.54,medium,America
Dominican Republic,2001,13390,1410.0,7182.0,26.8,45.54,medium,America
Dominican Republic,2002,12960,1410.0,4018.07,27.08,39.02,low,America
Dominican Republic,2002,12960,1410.0,4018.07,27.05,39.02,low,America
Dominican Republic,2004,14924,1410.0,3713.96,26.83,36.3,low,America
Dominican Republic,2004,14924,1410.0,3713.96,26.71,36.3,low,America
Dominican Republic,2005,14206,1410.0,3515.56,27.03,31.36,low,America
Dominican Republic,2005,14206,1410.0,3515.56,26.9,31.36,low,America
Dominican Republic,2006,13900,1410.0,4116.45,27.01,42.62,low,America
Dominican Republic,2006,13900,1410.0,4116.45,27.08,42.62,low,America
Dominican Republic,2007,13350,1410.0,5689.8,27.08,37.61,medium,America
Dominican Republic,2007,13350,1410.0,5689.8,27.12,37.61,medium,America
Dominican Republic,2008,14532,1410.0,5409.43,26.76,37.86,medium,America
Dominican Republic,2008,14532,1410.0,5409.43,26.56,37.86,medium,America
Dominican Republic,2009,14645,1410.0,5975.25,26.91,38.28,medium,America
Dominican Republic,2009,14645,1410.0,5975.25,26.88,38.28,medium,America
Dominican Republic,2010,16818,1410.0,6316.61,26.93,46.18,medium,America
Dominican Republic,2010,16818,1410.0,6316.61,27.01,46.18,medium,America
Dominican Republic,2011,16229,1410.0,6316.61,26.79,37.86,medium,America
Dominican Republic,2011,16229,1410.0,6316.61,26.66,37.86,medium,America
Dominican Republic,2012,15675,1410.0,6316.61,26.87,28.66,medium,America
Dominican Republic,2012,15675,1410.0,6316.61,26.84,28.66,medium,America
Dominican Republic,2013,15764,1410.0,6316.61,26.51,28.38,medium,America
Dominican Republic,2013,15764,1410.0,6316.61,26.88,28.38,medium,America
Ecuador,1990,10602,2274.0,2537.0,21.82,13.48,low,America
Ecuador,1990,10602,2274.0,2537.0,17.6,13.48,low,America
Ecuador,1990,10602,2274.0,2537.0,22.12,13.48,low,America
Ecuador,1991,13821,2274.0,2377.0,21.91,14.92,low,America
Ecuador,1991,13821,2274.0,2377.0,17.59,14.92,low,America
Ecuador,1991,13821,2274.0,2377.0,22.18,14.92,low,America
Ecuador,1992,10416,2274.0,2012.0,21.94,14.14,low,America
Ecuador,1992,10416,2274.0,2012.0,17.67,14.14,low,America
Ecuador,1992,10416,2274.0,2012.0,22.19,14.14,low,America
Ecuador,1993,11442,2274.0,1844.0,21.86,16.48,low,America
Ecuador,1993,11442,2274.0,1844.0,17.42,16.48,low,America
Ecuador,1993,11442,2274.0,1844.0,22.15,16.48,low,America
Ecuador,1994,11208,2274.0,2670.0,21.46,15.81,low,America
Ecuador,1994,11208,2274.0,2670.0,17.4,15.81,low,America
Ecuador,1994,11208,2274.0,2670.0,21.8,15.81,low,America
Ecuador,1995,11551,2274.0,2658.0,21.96,18.66,low,America
Ecuador,1995,11551,2274.0,2658.0,17.7,18.66,low,America
Ecuador,1995,11551,2274.0,2658.0,22.19,18.66,low,America
Ecuador,1996,11425,2274.0,2407.0,21.34,21.73,low,America
Ecuador,1996,11425,2274.0,2407.0,17.23,21.73,low,America
Ecuador,1996,11425,2274.0,2407.0,21.69,21.73,low,America
Ecuador,1997,11482,2274.0,7612.0,22.88,30.16,medium,America
Ecuador,1997,11482,2274.0,7612.0,17.82,30.16,medium,America
Ecuador,1997,11482,2274.0,7612.0,23.0,30.16,medium,America
Ecuador,1998,10743,2274.0,21500.0,22.59,29.33,medium,America
Ecuador,1998,10743,2274.0,21500.0,18.12,29.33,medium,America
Ecuador,1998,10743,2274.0,21500.0,22.72,29.33,medium,America
Ecuador,1999,11813,2274.0,14216.0,21.21,23.42,medium,America
Ecuador,1999,11813,2274.0,14216.0,17.02,23.42,medium,America
Ecuador,1999,11813,2274.0,14216.0,21.43,23.42,medium,America
Ecuador,2000,14614,2274.0,17948.0,21.34,24.03,medium,America
Ecuador,2000,14614,2274.0,17948.0,17.06,24.03,medium,America
Ecuador,2000,14614,2274.0,17948.0,21.46,24.03,medium,America
Ecuador,2001,7642,2274.0,7344.0,21.51,80.85,medium,America
Ecuador,2001,7642,2274.0,7344.0,17.39,80.85,medium,America
Ecuador,2001,7642,2274.0,7344.0,21.88,80.85,medium,America
Ecuador,2002,14319,2274.0,1302.49,22.23,50.89,low,America
Ecuador,2002,14319,2274.0,1302.49,17.78,50.89,low,America
Ecuador,2002,14319,2274.0,1302.49,22.47,50.89,low,America
Ecuador,2004,18841,2274.0,29799.84,22.04,53.76,medium,America
Ecuador,2004,18841,2274.0,29799.84,17.73,53.76,medium,America
Ecuador,2004,18841,2274.0,29799.84,22.33,53.76,medium,America
Ecuador,2005,21232,2274.0,18391.23,21.82,46.33,medium,America
Ecuador,2005,21232,2274.0,18391.23,17.67,46.33,medium,America
Ecuador,2005,21232,2274.0,18391.23,22.21,46.33,medium,America
Ecuador,2006,18776,2274.0,7953.42,22.09,51.62,medium,America
Ecuador,2006,18776,2274.0,7953.42,17.6,51.62,medium,America
Ecuador,2006,18776,2274.0,7953.42,22.31,51.62,medium,America
Ecuador,2007,23105,2274.0,14156.16,21.68,48.93,medium,America
Ecuador,2007,23105,2274.0,14156.16,17.44,48.93,medium,America
Ecuador,2007,23105,2274.0,14156.16,21.99,48.93,medium,America
Ecuador,2008,22442,2274.0,15396.14,21.72,62.55,medium,America
Ecuador,2008,22442,2274.0,15396.14,17.16,62.55,medium,America
Ecuador,2008,22442,2274.0,15396.14,21.89,62.55,medium,America
Ecuador,2009,22003,2274.0,9666.87,22.01,59.36,medium,America
Ecuador,2009,22003,2274.0,9666.87,17.76,59.36,medium,America
Ecuador,2009,22003,2274.0,9666.87,22.42,59.36,medium,America
Ecuador,2010,22348,2274.0,31637.12,21.98,61.72,medium,America
Ecuador,2010,22348,2274.0,31637.12,17.79,61.72,medium,America
Ecuador,2010,22348,2274.0,31637.12,22.3,61.72,medium,America
Ecuador,2011,16672,2274.0,17529.44,21.78,70.44,medium,America
Ecuador,2011,16672,2274.0,17529.44,17.42,70.44,medium,America
Ecuador,2011,16672,2274.0,17529.44,22.11,70.44,medium,America
Ecuador,2012,27324,2274.0,11469.74,21.86,68.33,medium,America
Ecuador,2012,27324,2274.0,11469.74,17.46,68.33,medium,America
Ecuador,2012,27324,2274.0,11469.74,22.16,68.33,medium,America
Ecuador,2013,23702,2274.0,6471.77,21.69,60.63,medium,America
Ecuador,2013,23702,2274.0,6471.77,17.28,60.63,medium,America
Ecuador,2013,23702,2274.0,6471.77,21.94,60.63,medium,America
Egypt,1990,57803,51.0,13214.0,20.73,281.4,medium,Africa
Egypt,1990,57803,51.0,13214.0,21.6,281.4,medium,Africa
Egypt,1991,58951,51.0,8255.0,20.64,293.23,medium,Africa
Egypt,1991,58951,51.0,8255.0,21.65,293.23,medium,Africa
Egypt,1992,61346,51.0,6156.0,20.09,248.22,medium,Africa
Egypt,1992,61346,51.0,6156.0,21.11,248.22,medium,Africa
Egypt,1993,60780,51.0,4175.0,20.74,281.75,low,Africa
Egypt,1993,60780,51.0,4175.0,21.79,281.75,low,Africa
Egypt,1994,59065,51.0,4283.0,21.1,239.24,low,Africa
Egypt,1994,59065,51.0,4283.0,22.02,239.24,low,Africa
Egypt,1995,61630,51.0,4391.0,20.62,295.46,low,Africa
Egypt,1995,61630,51.0,4391.0,21.56,295.46,low,Africa
Egypt,1996,69523,51.0,4499.0,20.85,315.63,low,Africa
Egypt,1996,69523,51.0,4499.0,21.88,315.63,low,Africa
Egypt,1997,71298,51.0,4607.0,20.52,281.98,low,Africa
Egypt,1997,71298,51.0,4607.0,21.45,281.98,low,Africa
Egypt,1998,72257,51.0,4715.0,21.29,311.08,low,Africa
Egypt,1998,72257,51.0,4715.0,22.36,311.08,low,Africa
Egypt,1999,75174,51.0,4823.0,21.46,282.63,low,Africa
Egypt,1999,75174,51.0,4823.0,22.28,282.63,low,Africa
Egypt,2000,76800,51.0,4931.0,20.74,326.17,low,Africa
Egypt,2000,76800,51.0,4931.0,21.49,326.17,low,Africa
Egypt,2001,69798,51.0,5039.0,21.45,329.24,medium,Africa
Egypt,2001,69798,51.0,5039.0,22.33,329.24,medium,Africa
Egypt,2002,77656,51.0,5147.0,21.46,336.24,medium,Africa
Egypt,2002,77656,51.0,5147.0,22.41,336.24,medium,Africa
Egypt,2004,79087,51.0,5363.0,21.06,394.74,medium,Africa
Egypt,2004,79087,51.0,5363.0,22.08,394.74,medium,Africa
Egypt,2005,81607,51.0,5471.0,21.08,371.56,medium,Africa
Egypt,2005,81607,51.0,5471.0,22.01,371.56,medium,Africa
Egypt,2006,83705,51.0,9781.0,21.15,350.69,medium,Africa
Egypt,2006,83705,51.0,9781.0,22.05,350.69,medium,Africa
Egypt,2007,80463,51.0,9105.0,21.51,316.56,medium,Africa
Egypt,2007,80463,51.0,9105.0,22.36,316.56,medium,Africa
Egypt,2008,79053,51.0,9527.0,21.74,321.6,medium,Africa
Egypt,2008,79053,51.0,9527.0,22.64,321.6,medium,Africa
Egypt,2009,78184,51.0,9013.0,21.67,323.45,medium,Africa
Egypt,2009,78184,51.0,9013.0,22.63,323.45,medium,Africa
Egypt,2010,72700,51.0,11590.0,22.46,315.64,medium,Africa
Egypt,2010,72700,51.0,11590.0,23.72,315.64,medium,Africa
Egypt,2011,77409,51.0,12945.0,21.18,333.43,medium,Africa
Egypt,2011,77409,51.0,12945.0,21.99,333.43,medium,Africa
Egypt,2012,77723,51.0,13991.0,21.55,294.05,medium,Africa
Egypt,2012,77723,51.0,13991.0,22.48,294.05,medium,Africa
Egypt,2013,77223,51.0,13653.0,21.44,295.93,medium,Africa
Egypt,2013,77223,51.0,13653.0,22.91,295.93,medium,Africa
El Salvador,1990,21383,1784.0,2524.0,26.06,65.08,low,America
El Salvador,1991,16448,1784.0,4096.0,26.08,66.91,low,America
El Salvador,1992,21989,1784.0,3940.77,26.22,63.07,low,America
El Salvador,1993,20482,1784.0,3785.54,26.12,61.95,low,America
El Salvador,1994,15245,1784.0,3630.31,26.33,53.86,low,America
El Salvador,1995,21972,1784.0,3475.08,26.05,48.99,low,America
El Salvador,1996,22572,1784.0,3319.85,25.77,73.53,low,America
El Salvador,1997,16582,1784.0,3164.62,26.48,88.36,low,America
El Salvador,1998,19062,1784.0,3009.39,26.48,67.06,low,America
El Salvador,1999,25047,1784.0,2854.16,25.67,64.48,low,America
El Salvador,2000,22475,1784.0,2698.93,25.78,55.24,low,America
El Salvador,2001,19431,1784.0,2543.7,25.92,55.28,low,America
El Salvador,2002,26041,1784.0,2388.47,26.12,39.93,low,America
El Salvador,2004,27641,1784.0,2078.01,26.2,52.67,low,America
El Salvador,2005,29434,1784.0,1922.78,26.07,81.78,low,America
El Salvador,2006,30794,1784.0,2265.72,26.14,62.48,low,America
El Salvador,2007,29107,1784.0,1940.78,26.02,74.84,low,America
El Salvador,2008,33895,1784.0,3899.48,25.71,85.5,low,America
El Salvador,2009,30041,1784.0,3333.88,26.21,74.99,low,America
El Salvador,2010,30253,1784.0,3598.59,25.96,84.55,low,America
El Salvador,2011,28181,1784.0,3231.13,25.95,94.71,low,America
El Salvador,2012,32580,1784.0,2595.16,26.04,81.33,low,America
El Salvador,2013,29461,1784.0,6005.08,26.36,79.02,medium,America
Eritrea,1993,2308,383.0,4.44,24.09,1.4,low,Africa
Eritrea,1994,7689,383.0,4.44,24.13,2.51,low,Africa
Eritrea,1995,3366,383.0,4.44,24.37,3.21,low,Africa
Eritrea,1996,3974,383.0,4.44,24.36,10.22,low,Africa
Eritrea,1997,2495,383.0,30.92,24.32,12.72,low,Africa
Eritrea,1998,7532,383.0,19.61,24.78,10.0,low,Africa
Eritrea,1999,7920,383.0,22.28,24.68,10.76,low,Africa
Eritrea,2000,2358,383.0,24.96,24.76,9.59,low,Africa
Eritrea,2001,7851,383.0,27.63,24.61,6.54,low,Africa
Eritrea,2002,2076,383.0,27.63,24.86,5.02,low,Africa
Eritrea,2004,2409,383.0,27.63,24.79,0.01,low,Africa
Eritrea,2005,4906,383.0,27.63,24.85,2.31,low,Africa
Eritrea,2006,9755,383.0,27.63,24.7,0.01,low,Africa
Eritrea,2007,8321,383.0,27.63,24.7,0.98,low,Africa
Eritrea,2009,8689,383.0,27.63,25.3,0.78,low,Africa
Eritrea,2010,9000,383.0,27.63,25.22,0.4,low,Africa
Eritrea,2011,9524,383.0,27.63,24.78,0.82,low,Africa
Eritrea,2012,10476,383.0,27.63,25.16,0.89,low,Africa
Eritrea,2013,10000,383.0,27.63,25.87,1.19,low,Africa
France,1990,60186,867.0,97701.0,11.96,118.08,high,Europe
France,1991,72866,867.0,103434.0,10.6,121.45,high,Europe
France,1992,79812,867.0,85249.0,11.15,101.76,high,Europe
France,1993,80479,867.0,91953.0,10.7,104.0,high,Europe
France,1994,77983,867.0,89515.0,11.96,107.73,high,Europe
France,1995,77182,867.0,84011.0,11.69,111.25,high,Europe
France,1996,83856,867.0,97890.0,10.14,117.28,high,Europe
France,1997,90651,867.0,109792.0,11.59,116.46,high,Europe
France,1998,84528,867.0,107753.0,11.25,115.06,high,Europe
France,1999,89523,867.0,114695.0,11.83,118.7,high,Europe
France,2000,90766,867.0,97878.0,11.74,106.93,high,Europe
France,2001,85711,867.0,99694.0,11.37,110.74,high,Europe
France,2002,89751,867.0,82448.0,11.87,101.69,high,Europe
France,2004,89907,867.0,76099.0,11.34,107.38,high,Europe
France,2005,82539,867.0,78265.0,11.55,101.83,high,Europe
France,2006,85818,867.0,71612.0,11.79,102.09,high,Europe
France,2007,94821,867.0,77255.0,11.75,111.67,high,Europe
France,2008,91258,867.0,78577.0,11.28,97.78,high,Europe
France,2009,88934,867.0,63676.0,11.46,88.72,high,Europe
France,2010,88299,867.0,61903.0,10.41,95.21,high,Europe
France,2011,99668,867.0,61039.0,12.33,90.76,high,Europe
France,2012,90024,867.0,63547.59,11.22,94.5,high,Europe
France,2013,81592,867.0,66497.29,11.01,101.11,high,Europe
Germany,1990,67762,700.0,31289.0,10.71,115.18,medium,Europe
Germany,1990,67762,700.0,31289.0,10.08,115.18,medium,Europe
Germany,1990,67762,700.0,31289.0,5.92,115.18,medium,Europe
Germany,1991,68432,700.0,32006.0,9.36,116.54,medium,Europe
Germany,1991,68432,700.0,32006.0,8.79,116.54,medium,Europe
Germany,1991,68432,700.0,32006.0,4.93,116.54,medium,Europe
Germany,1992,72348,700.0,29542.0,10.38,114.79,medium,Europe
Germany,1992,72348,700.0,29542.0,9.84,114.79,medium,Europe
Germany,1992,72348,700.0,29542.0,5.91,114.79,medium,Europe
Germany,1993,80227,700.0,25170.0,9.34,108.28,medium,Europe
Germany,1993,80227,700.0,25170.0,8.57,108.28,medium,Europe
Germany,1993,80227,700.0,25170.0,5.33,108.28,medium,Europe
Germany,1994,70808,700.0,26330.0,10.43,118.8,medium,Europe
Germany,1994,70808,700.0,26330.0,9.73,118.8,medium,Europe
Germany,1994,70808,700.0,26330.0,6.64,118.8,medium,Europe
Germany,1995,73664,700.0,30090.0,9.75,117.4,medium,Europe
Germany,1995,73664,700.0,30090.0,9.16,117.4,medium,Europe
Germany,1995,73664,700.0,30090.0,5.33,117.4,medium,Europe
Germany,1996,78272,700.0,31683.0,7.88,116.58,medium,Europe
Germany,1996,78272,700.0,31683.0,7.42,116.58,medium,Europe
Germany,1996,78272,700.0,31683.0,4.49,116.58,medium,Europe
Germany,1997,86577,700.0,30414.0,9.73,118.63,medium,Europe
Germany,1997,86577,700.0,30414.0,9.27,118.63,medium,Europe
Germany,1997,86577,700.0,30414.0,5.79,118.63,medium,Europe
Germany,1998,81561,700.0,33377.0,10.05,125.75,medium,Europe
Germany,1998,81561,700.0,33377.0,9.31,125.75,medium,Europe
Germany,1998,81561,700.0,33377.0,5.66,125.75,medium,Europe
Germany,1999,87850,700.0,30019.0,10.58,133.84,medium,Europe
Germany,1999,87850,700.0,30019.0,10.02,133.84,medium,Europe
Germany,1999,87850,700.0,30019.0,5.55,133.84,medium,Europe
Germany,2000,92119,700.0,35273.17,10.96,122.96,medium,Europe
Germany,2000,92119,700.0,35273.17,10.12,122.96,medium,Europe
Germany,2000,92119,700.0,35273.17,6.33,122.96,medium,Europe
Germany,2001,88376,700.0,33423.49,9.69,119.27,medium,Europe
Germany,2001,88376,700.0,33423.49,9.19,119.27,medium,Europe
Germany,2001,88376,700.0,33423.49,5.59,119.27,medium,Europe
